bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species,sex,cluster_hierarquico,CP1,CP2
37.6,19.3,181.0,3300.0,Adelie,Female,3,-2.3986641509372837,0.07876197192094063
39.8,19.1,184.0,4650.0,Adelie,Male,3,-1.1268353314309036,0.38149263225066965
36.5,18.0,182.0,3150.0,Adelie,Female,3,-2.2882895620756987,-0.5832811783754326
40.8,18.4,195.0,3900.0,Adelie,Male,3,-0.9635350077848073,0.13058572736679067
36.0,18.5,186.0,3100.0,Adelie,Female,3,-2.3016985243966346,-0.44037270644847715
44.1,19.7,196.0,4400.0,Adelie,Male,3,-0.5684769449761576,1.070759561457303
37.0,16.9,185.0,3000.0,Adelie,Female,3,-2.0028599868106625,-0.9888620402256391
39.6,18.8,190.0,4600.0,Adelie,Male,3,-0.8707299726931131,0.23392733212158998
41.1,19.0,182.0,3425.0,Adelie,Male,3,-1.9188619507590725,0.3540256049659833
37.5,18.9,179.0,2975.0,Adelie,,3,-2.6304036285933736,-0.12858025665064152
36.0,17.9,190.0,3450.0,Adelie,Female,3,-1.7761247129613194,-0.6455897826200971
42.3,21.2,191.0,4150.0,Adelie,Male,3,-1.3996284258175495,1.4533322976416911
39.6,17.7,186.0,3500.0,Adelie,Female,3,-1.564747642441814,-0.3276319827632237
40.1,18.9,188.0,4300.0,Adelie,Male,3,-1.1367552775060084,0.29721115669297665
35.0,17.9,190.0,3450.0,Adelie,Female,3,-1.859632428310084,-0.7551047101600115
42.0,19.5,200.0,4050.0,Adelie,Male,3,-0.7788154078882984,0.7236422598038165
34.5,18.1,187.0,2900.0,Adelie,Female,3,-2.4416829016988997,-0.7873793770682591
41.4,18.6,191.0,3700.0,Adelie,Male,3,-1.2550810885377714,0.25548771379541435
39.0,17.5,186.0,3550.0,Adelie,Female,3,-1.5400099468527975,-0.4689867316895083
40.6,18.8,193.0,3800.0,Adelie,Male,3,-1.2119677152182724,0.25964925322124005
36.5,16.6,181.0,2850.0,Adelie,Female,3,-2.2505164202663916,-1.1814422629033512
37.6,19.1,194.0,3750.0,Adelie,Male,3,-1.516611865140128,0.04736946519498563
35.7,16.9,185.0,3150.0,Adelie,Female,3,-2.0087046611344315,-1.1154288304143471
41.3,21.1,195.0,4400.0,Adelie,Male,3,-1.127548915788417,1.330348544204862
37.6,17.0,185.0,3600.0,Adelie,Female,3,-1.562195871543772,-0.819485955778939
41.1,18.2,192.0,4050.0,Adelie,Male,3,-0.9182332367795607,0.09784188013852095
36.4,17.1,184.0,2850.0,Adelie,Female,3,-2.2373071019548614,-0.9896228181438244
41.6,18.0,192.0,3950.0,Adelie,Male,3,-0.9043524099365279,0.06115093589296245
35.5,16.2,195.0,3350.0,Adelie,Female,3,-1.336106267636144,-1.3978329528504372
41.1,19.1,188.0,4100.0,Adelie,Male,3,-1.2308052425851446,0.4665692610220482
35.9,16.6,190.0,3050.0,Adelie,Female,3,-1.7944579255172592,-1.2246182347863082
41.8,19.4,198.0,4450.0,Adelie,Male,3,-0.5833539142520127,0.7030978436853732
33.5,19.0,190.0,3600.0,Adelie,Female,3,-2.1054999467731426,-0.4585511656863573
39.7,18.4,190.0,3900.0,Adelie,Male,3,-1.2605097815863509,0.009306623467282478
39.6,17.2,196.0,3550.0,Adelie,Female,3,-1.0187669344251316,-0.5230224043644478
45.8,18.9,197.0,4150.0,Adelie,Male,3,-0.3942673391954499,0.9071064585473932
35.5,17.5,190.0,3700.0,Adelie,Female,3,-1.565478565409526,-0.835836215581546
42.8,18.5,195.0,4250.0,Adelie,Male,3,-0.5771523504123541,0.42694501768073745
40.9,16.8,191.0,3700.0,Adelie,Female,3,-0.9314000899165488,-0.5274897284351076
37.2,19.4,184.0,3900.0,Adelie,Male,3,-1.9184379788684152,0.1391107389910868
36.2,16.1,187.0,3550.0,Adelie,Female,3,-1.4485811819936205,-1.3418593086605857
42.1,19.1,195.0,4000.0,Adelie,Male,3,-0.9286116293043989,0.5666868685343536
34.6,17.2,189.0,3200.0,Adelie,Female,3,-1.9631374759898097,-1.1086075688759498
42.9,17.6,196.0,4700.0,Adelie,Male,3,-0.036914826457220294,0.1213569047651076
36.7,18.8,187.0,3800.0,Adelie,Female,3,-1.7837873493799374,-0.16843418451114903
35.1,19.4,193.0,4200.0,Adelie,Male,3,-1.5191641533893456,-0.05780254712628817
37.3,17.8,191.0,3350.0,Adelie,Female,3,-1.6747163929165618,-0.5540495826425719
41.3,20.3,194.0,3550.0,Adelie,Male,3,-1.588210363386269,0.9169845285821376
36.3,19.5,190.0,3800.0,Adelie,Male,3,-1.8362342185947704,0.07144411292646569
36.9,18.6,189.0,3500.0,Adelie,Female,3,-1.8498661298805397,-0.2587246877273477
38.3,19.2,189.0,3950.0,Adelie,Male,3,-1.5466208802685961,0.18474405048825904
38.9,18.8,190.0,3600.0,Adelie,Female,3,-1.6139544109680806,0.051916112089117276
35.7,18.0,202.0,3550.0,Adelie,Female,3,-1.260722971670765,-0.6255020776831385
41.1,18.1,205.0,4300.0,Adelie,Male,3,-0.19343669494943827,0.08583588473169147
34.0,17.1,185.0,3400.0,Adelie,Female,3,-2.020079390766358,-1.194353183603505
39.6,18.1,186.0,4450.0,Adelie,Male,3,-0.9954248026309919,-0.0657220886662916
36.2,17.3,187.0,3300.0,Adelie,Female,3,-1.8633966789067316,-0.8827170157088429
40.8,18.9,208.0,4300.0,Adelie,Male,3,-0.25783472909026117,0.37712234039332837
38.1,18.6,190.0,3700.0,Adelie,Female,3,-1.571679806572275,-0.10607408380742304
40.3,18.5,196.0,4350.0,Adelie,Male,3,-0.6764214776476016,0.16385531262752562
33.1,16.1,178.0,2900.0,Adelie,Female,3,-2.5217642904220567,-1.7512964155148516
43.2,18.5,192.0,4100.0,Adelie,Male,3,-0.7695343920532144,0.4544607629201621
35.0,17.9,192.0,3725.0,Adelie,Female,3,-1.589274428221944,-0.7258081747602737
41.0,20.0,203.0,4725.0,Adelie,Male,3,-0.378543933057344,0.8880100400367301
37.7,16.0,183.0,3075.0,Adelie,Female,3,-1.792375994871074,-1.2687353458136315
37.8,20.0,190.0,4250.0,Adelie,Male,3,-1.504336260987084,0.4854076784260333
37.9,18.6,193.0,2925.0,Adelie,Female,3,-1.996007581577681,-0.209136306486807
39.7,18.9,184.0,3550.0,Adelie,Male,3,-1.8478281713279603,0.1737419607266293
38.6,17.2,199.0,3750.0,Adelie,Female,3,-0.842251070116988,-0.6109795675900939
38.2,20.0,190.0,3900.0,Adelie,Male,3,-1.710602337983369,0.49234087967791335
38.1,17.0,181.0,3175.0,Adelie,Female,3,-1.975561884354316,-0.8101527164641404
43.2,19.0,197.0,4775.0,Adelie,Male,3,-0.2037086871063346,0.7286685441352314
38.1,16.5,198.0,3825.0,Adelie,Female,3,-0.7315569521340699,-0.9411949185648009
45.6,20.3,191.0,4600.0,Adelie,Male,3,-0.6331894701299495,1.4980294161326666
39.7,17.7,193.0,3200.0,Adelie,Female,3,-1.4746647804811228,-0.3471479641877476
42.2,19.5,197.0,4275.0,Adelie,Male,3,-0.7311106035248498,0.7687615585682077
39.6,20.7,191.0,3900.0,Adelie,Female,3,-1.6947818343375864,0.9290209732451331
42.7,18.3,196.0,4075.0,Adelie,Male,3,-0.6237105732098113,0.31680634582576167
38.6,17.0,188.0,2900.0,Adelie,Female,3,-1.834956710315848,-0.7832289576038356
37.3,20.5,199.0,3775.0,Adelie,Male,3,-1.6036557773407205,0.5843547563879158
35.7,17.0,189.0,3350.0,Adelie,Female,3,-1.72795976055481,-1.0532518639089263
41.1,18.6,189.0,3325.0,Adelie,Male,3,-1.618968306983624,0.18280162305824954
36.2,17.2,187.0,3150.0,Adelie,Female,3,-1.9458100980754893,-0.9389762967920546
37.7,19.8,198.0,3500.0,Adelie,Male,3,-1.6574738786797052,0.31583007043504563
40.2,17.0,176.0,3450.0,Adelie,Female,3,-1.8170004837188345,-0.552012590278427
41.4,18.5,202.0,3875.0,Adelie,Male,3,-0.663688739289622,0.23525533713975225
35.2,15.9,186.0,3050.0,Adelie,Female,3,-1.8748928005696477,-1.58512548923895
40.6,19.0,199.0,4000.0,Adelie,Male,3,-0.8694782363323561,0.3626079586389326
38.8,17.6,191.0,3275.0,Adelie,Female,3,-1.5602086247864935,-0.4785918300793528
41.5,18.3,195.0,4300.0,Adelie,Male,3,-0.6108700555674724,0.20892981947651343
39.0,17.1,191.0,3050.0,Adelie,Female,3,-1.596070432856843,-0.6826760953412963
44.1,18.0,210.0,4000.0,Adelie,Male,3,0.07707396321637612,0.3431314542606458
38.5,17.9,190.0,3325.0,Adelie,Female,3,-1.652951554280762,-0.3849713101146279
43.1,19.2,197.0,3500.0,Adelie,Male,3,-1.1257438544147556,0.6643081496092734
36.8,18.5,193.0,3500.0,Adelie,Female,3,-1.6738219354202264,-0.3094826990668888
37.5,18.5,199.0,4475.0,Adelie,Male,3,-0.7015771787820463,-0.12913002797655565
38.1,17.6,187.0,3425.0,Adelie,Female,3,-1.6800416994353262,-0.540099810628595
41.1,17.5,190.0,3900.0,Adelie,Male,3,-0.9608815519502784,-0.20148246720711938
35.6,17.5,191.0,3175.0,Adelie,Female,3,-1.8756082811947556,-0.8800313407525632
40.2,20.1,200.0,3975.0,Adelie,Male,3,-1.1022985920960886,0.7613540752455699
37.0,16.5,185.0,3400.0,Adelie,Female,3,-1.6477446259548625,-1.1085483938039509
39.7,17.9,193.0,4250.0,Adelie,Male,3,-0.796261163995483,-0.1556163239554261
40.2,17.1,193.0,3400.0,Adelie,Female,3,-1.1741454965353728,-0.5140603390870713
40.6,17.2,187.0,3475.0,Adelie,Male,3,-1.355826213343405,-0.422871615121209
32.1,15.5,188.0,3050.0,Adelie,Female,3,-1.9705124575401887,-2.086123353050569
40.7,17.0,190.0,3725.0,Adelie,Male,3,-1.0126095373533448,-0.4660081504552848
37.3,16.8,192.0,3000.0,Adelie,Female,3,-1.6703429340601026,-0.9953264703858512
39.0,18.7,185.0,3650.0,Adelie,Male,3,-1.7561795380136982,0.026865794305200374
39.2,18.6,190.0,4250.0,Adelie,Male,3,-1.1031983490466764,0.07233526040147566
36.6,18.4,184.0,3475.0,Adelie,Female,3,-2.056550084419608,-0.3759389498038519
36.0,17.8,195.0,3450.0,Adelie,Female,3,-1.5507064895825498,-0.6852337644845246
37.8,18.1,193.0,3750.0,Adelie,Male,3,-1.3379142148452865,-0.3354567407184663
36.0,17.1,187.0,3700.0,Adelie,Female,3,-1.5655867340424183,-0.9433930238550754
41.5,18.5,201.0,4000.0,Adelie,Male,3,-0.6107650954469721,0.25921313951693975
46.5,17.9,192.0,3500.0,Chinstrap,Female,2,-0.7830087351555889,0.5099095685289708
50.0,19.5,196.0,3900.0,Chinstrap,Male,2,-0.37756207026212923,1.5833089176254687
51.3,19.2,193.0,3650.0,Chinstrap,Male,2,-0.5023582624595843,1.5774830241652675
45.4,18.7,188.0,3525.0,Chinstrap,Female,2,-1.1842565173222173,0.7150800943796969
52.7,19.8,197.0,3725.0,Chinstrap,Male,2,-0.29180837238738055,1.9820953702324096
45.2,17.8,198.0,3950.0,Chinstrap,Female,2,-0.3169812174577579,0.3754665644233153
46.1,18.2,178.0,3250.0,Chinstrap,Female,3,-1.622835493430532,0.558860387138778
51.3,18.2,197.0,3750.0,Chinstrap,Male,2,-0.0667689645635092,1.1841015934248897
46.0,18.9,195.0,4150.0,Chinstrap,Female,3,-0.459612310892858,0.9286843706131351
51.3,19.9,198.0,3700.0,Chinstrap,Male,2,-0.4051170788912081,1.8667599045988166
46.6,17.8,193.0,3800.0,Chinstrap,Female,2,-0.5079020585170155,0.5121721637604122
51.7,20.3,194.0,3775.0,Chinstrap,Male,2,-0.5656570903146801,2.0796436984170166
47.0,17.3,185.0,3700.0,Chinstrap,Female,2,-0.7696522528949032,0.34185943658180284
52.0,18.1,201.0,4050.0,Chinstrap,Male,2,0.3815121134350648,1.2525607553436418
45.9,17.1,190.0,3575.0,Chinstrap,Female,2,-0.7013867096302616,0.12812352260912105
50.5,19.6,201.0,4050.0,Chinstrap,Male,2,-0.04827850650108627,1.6951383460842406
50.3,20.0,197.0,3300.0,Chinstrap,Male,2,-0.8238576030967533,1.7553987975060006
58.0,17.8,181.0,3700.0,Chinstrap,Female,2,-0.11667009589715037,1.7481568199865345
46.4,18.6,190.0,3450.0,Chinstrap,Female,2,-1.0497580285602375,0.776562122085232
49.2,18.2,195.0,4400.0,Chinstrap,Male,2,0.12091819283196527,1.022273173139275
42.4,17.3,181.0,3600.0,Chinstrap,Female,3,-1.386357676786626,-0.1730944540617387
48.5,17.5,191.0,3400.0,Chinstrap,Male,2,-0.6442857197512561,0.5564151479321007
43.2,16.6,187.0,2900.0,Chinstrap,Female,3,-1.4106367312516441,-0.44144948952147506
50.6,19.4,193.0,3800.0,Chinstrap,Male,2,-0.498702180495828,1.5975385214405704
46.7,17.9,195.0,3300.0,Chinstrap,Female,2,-0.7801912274412602,0.5112300100494093
52.0,19.0,197.0,4150.0,Chinstrap,Male,2,0.10317855950602328,1.6265556747648942
50.5,18.4,200.0,3400.0,Chinstrap,Female,2,-0.2907784007493037,1.1410178227322962
49.5,19.0,200.0,3800.0,Chinstrap,Male,2,-0.22219011985093737,1.316383196314384
46.4,17.8,191.0,3700.0,Chinstrap,Female,2,-0.6751270201070131,0.47940902773473454
52.8,20.0,205.0,4550.0,Chinstrap,Male,2,0.569059041257343,2.1621748735679165
40.9,16.6,187.0,3200.0,Chinstrap,Female,3,-1.3972737652945535,-0.6617285916369187
54.2,20.8,201.0,4300.0,Chinstrap,Male,2,0.1882690621416476,2.612161256310933
42.5,16.7,187.0,3350.0,Chinstrap,Female,3,-1.1812480015677715,-0.4302454264898453
51.0,18.8,203.0,4100.0,Chinstrap,Male,2,0.27217580950393455,1.4318350980739145
49.7,18.6,195.0,3600.0,Chinstrap,Male,2,-0.46635092536178613,1.1545766821857328
47.5,16.8,199.0,3900.0,Chinstrap,Female,2,0.0848906979601087,0.2176792412481982
47.6,18.3,195.0,3850.0,Chinstrap,Female,2,-0.40961905882888294,0.8295630306304511
52.0,20.7,210.0,4800.0,Chinstrap,Male,2,0.736447860052874,2.3849099661204405
46.9,16.6,192.0,2700.0,Chinstrap,Female,3,-1.033495705049479,-0.056501728169096065
53.5,19.9,205.0,4500.0,Chinstrap,Male,2,0.6135779265858039,2.193111118838098
49.0,19.5,210.0,3950.0,Chinstrap,Male,2,0.14749426963577644,1.4813370427189696
46.2,17.5,187.0,3650.0,Chinstrap,Female,2,-0.8292542352050287,0.33021836039444874
50.9,19.1,196.0,3550.0,Chinstrap,Male,2,-0.46086654374056474,1.48317292076718
45.5,17.0,196.0,3500.0,Chinstrap,Female,2,-0.5197059928222287,0.036934798643257265
50.9,17.9,196.0,3675.0,Chinstrap,Female,2,-0.1316471765188069,1.0108617814711194
50.8,18.5,201.0,4450.0,Chinstrap,Male,2,0.4740027241854124,1.325109812477682
50.1,17.9,190.0,3400.0,Chinstrap,Female,2,-0.632904378420281,0.8933031571549679
49.0,19.6,212.0,4300.0,Chinstrap,Male,2,0.44890801107786166,1.558991551395329
51.5,18.7,187.0,3250.0,Chinstrap,Male,2,-0.9041941963993129,1.3539871536945574
49.8,17.3,198.0,3675.0,Chinstrap,Female,2,-0.019647529870085653,0.6479804417992671
48.1,16.4,199.0,3325.0,Chinstrap,Female,2,-0.17753912356739251,0.06098484270816456
51.4,19.0,201.0,3950.0,Chinstrap,Male,2,0.08021315232492052,1.5404267109745213
45.7,17.3,193.0,3600.0,Chinstrap,Female,2,-0.6185031275327352,0.1902552474734262
50.7,19.7,203.0,4050.0,Chinstrap,Male,2,0.03016761487496153,1.7578230705044957
42.5,17.3,187.0,3350.0,Chinstrap,Female,3,-1.3030596203329736,-0.18750543366965655
52.2,18.8,197.0,3450.0,Chinstrap,Male,2,-0.3188543507740721,1.4937997898046422
45.2,16.6,191.0,3250.0,Chinstrap,Female,3,-0.8398591078840013,-0.18489671779307768
49.3,19.9,203.0,4050.0,Chinstrap,Male,2,-0.12734705953504297,1.6854155028886775
50.2,18.8,202.0,3800.0,Chinstrap,Male,2,-0.04108433141790706,1.3124553880945031
45.6,19.4,194.0,3525.0,Chinstrap,Female,3,-1.063528985177049,1.0211549585046231
51.9,19.5,206.0,3950.0,Chinstrap,Male,2,0.22557361461287118,1.7982801857002384
46.8,16.5,189.0,3650.0,Chinstrap,Female,2,-0.49408372661993977,-0.00831426433967566
45.7,17.0,195.0,3650.0,Chinstrap,Female,2,-0.44131235150643133,0.0744778630432997
55.8,19.8,207.0,4000.0,Chinstrap,Male,2,0.5656096043505738,2.352188474774845
43.5,18.1,202.0,3400.0,Chinstrap,Female,3,-0.7323800840408942,0.2533684069850446
49.6,18.2,193.0,3775.0,Chinstrap,Male,2,-0.35570588425246014,0.9999098389914167
50.8,19.0,210.0,4100.0,Chinstrap,Male,2,0.502033195197512,1.4919832005538378
50.2,18.7,198.0,3775.0,Chinstrap,Female,2,-0.20199465042963302,1.2687148064711253
46.1,13.2,211.0,4500.0,Gentoo,Female,1,1.6019901201845153,-1.3269207111226444
50.0,16.3,230.0,5700.0,Gentoo,Male,1,2.8994749150828514,0.48385325846072424
48.7,14.1,210.0,4450.0,Gentoo,Female,1,1.5611310426833782,-0.683501985547432
50.0,15.2,218.0,5700.0,Gentoo,Male,1,2.6305171275494206,0.036879497636931456
47.6,14.5,215.0,5400.0,Gentoo,Male,1,2.243711682528463,-0.5412458281388034
46.5,13.5,210.0,4550.0,Gentoo,Female,1,1.567702591434381,-1.1566397418799785
45.4,14.6,211.0,4800.0,Gentoo,Female,1,1.464738320247492,-0.8055826125937858
46.7,15.3,219.0,5200.0,Gentoo,Male,1,2.0332784690557952,-0.33657594643089905
43.3,13.4,209.0,4400.0,Gentoo,Female,1,1.1770412257659957,-1.5635093278120362
46.8,15.4,215.0,5150.0,Gentoo,Male,1,1.8229958227189402,-0.291085473629086
40.9,13.7,214.0,4650.0,Gentoo,Female,1,1.2920254458469713,-1.6778247812035005
49.0,16.1,216.0,5550.0,Gentoo,Male,1,2.1795301136560674,0.2753468702718792
45.5,13.7,214.0,4650.0,Gentoo,Female,1,1.6761609364512882,-1.1740561145198947
48.4,14.6,213.0,5850.0,Gentoo,Male,1,2.516315470468321,-0.3660944472395428
45.8,14.6,210.0,4200.0,Gentoo,Female,1,1.046256726484918,-0.8251496407516604
49.3,15.7,217.0,5850.0,Gentoo,Male,1,2.5322441427469946,0.17814245460120723
42.0,13.5,210.0,4150.0,Gentoo,Female,1,0.9180102573526077,-1.6915972241114057
49.2,15.2,221.0,6300.0,Gentoo,Male,1,3.09764214993965,0.012965628221081578
46.2,14.5,209.0,4800.0,Gentoo,Female,1,1.4697999142202096,-0.7587524094741264
48.7,15.1,222.0,5350.0,Gentoo,Male,1,2.4666829004554254,-0.1821691965145918
50.2,14.3,218.0,5700.0,Gentoo,Male,1,2.8299360987669764,-0.305327506085367
45.1,14.5,215.0,5000.0,Gentoo,Female,1,1.7610347791442187,-0.8571734552904021
46.5,14.5,213.0,4400.0,Gentoo,Female,1,1.3850376433468283,-0.7673880926294829
46.3,15.8,215.0,5050.0,Gentoo,Male,1,1.6315573154480068,-0.19455135259437079
42.9,13.1,215.0,5000.0,Gentoo,Female,1,1.8615449158290738,-1.664499612458653
46.1,15.1,215.0,5100.0,Gentoo,Male,1,1.7912077794808647,-0.49438345785484655
44.5,14.3,216.0,4100.0,Gentoo,,1,1.1762651464625256,-1.0984488997123718
47.8,15.0,215.0,5650.0,Gentoo,Male,1,2.330095802676589,-0.2907218225920312
48.2,14.3,210.0,4600.0,Gentoo,Female,1,1.581488667716887,-0.6415435027641462
50.0,15.3,220.0,5550.0,Gentoo,Male,1,2.58954635022609,0.06185862093602474
47.3,15.3,222.0,5250.0,Gentoo,Male,1,2.240691322292337,-0.26511184120586256
42.8,14.2,209.0,4700.0,Gentoo,Female,1,1.1783025876639277,-1.2630082365953832
45.1,14.5,207.0,5050.0,Gentoo,Female,1,1.4670871719521152,-0.8532062105216403
59.6,17.0,230.0,6050.0,Gentoo,Male,1,3.798704590340714,1.8552659908982072
49.1,14.8,220.0,5150.0,Gentoo,Female,1,2.341991473704204,-0.28112844950186777
48.4,16.3,220.0,5400.0,Gentoo,Male,1,2.1501992854297725,0.27539877595929546
42.6,13.7,213.0,4950.0,Gentoo,Female,1,1.5983960158155404,-1.4602067098804066
44.4,17.3,219.0,5250.0,Gentoo,Male,1,1.469410446412839,0.2259405681656515
44.0,13.6,208.0,4350.0,Gentoo,Female,1,1.119631044328275,-1.4113656228528804
48.7,15.7,208.0,5350.0,Gentoo,Male,1,1.7705456783200948,0.05829528220990761
42.7,13.7,208.0,3950.0,Gentoo,Female,1,0.7168614629016817,-1.5554186714865506
49.6,16.0,225.0,5700.0,Gentoo,Male,1,2.7218613514080436,0.3178646074290613
45.3,13.7,210.0,4300.0,Gentoo,Female,1,1.2556972007114215,-1.2334820166764466
49.6,15.0,216.0,4750.0,Gentoo,Male,1,1.905140813910197,-0.18824810997814354
50.5,15.9,222.0,5550.0,Gentoo,Male,1,2.591535103902432,0.3596811509684111
43.6,13.9,217.0,4900.0,Gentoo,Female,1,1.7711544359003515,-1.2743958430536735
45.5,13.9,210.0,4200.0,Gentoo,Female,1,1.1633179671063576,-1.1412007773038535
50.5,15.9,225.0,5400.0,Gentoo,Male,1,2.611889520423549,0.344366145518593
44.9,13.3,213.0,5100.0,Gentoo,Female,1,1.9743868625907908,-1.354346422805549
45.2,15.8,215.0,5300.0,Gentoo,Male,1,1.7108910879470742,-0.2886800801996428
46.6,14.2,210.0,4850.0,Gentoo,Female,1,1.6393705190024388,-0.8308863596094079
48.5,14.1,220.0,5300.0,Gentoo,Male,1,2.5367157553506385,-0.6142314487028566
45.1,14.4,210.0,4400.0,Gentoo,Female,1,1.1653590061686834,-0.9616532668187558
50.1,15.0,225.0,5000.0,Gentoo,Male,1,2.487296247419513,-0.10569012302946781
46.5,14.4,217.0,4900.0,Gentoo,Female,1,1.9118171281074339,-0.7545192258377655
45.0,15.4,220.0,5050.0,Gentoo,Male,1,1.8093213182559842,-0.49793473667078164
43.8,13.9,208.0,4300.0,Gentoo,Female,1,1.0077852399993794,-1.317166150488496
45.5,15.0,220.0,5000.0,Gentoo,Male,1,1.8980444698972927,-0.6102714733186768
43.2,14.5,208.0,4450.0,Gentoo,Female,1,0.9385843476545442,-1.124332498579076
50.4,15.3,224.0,5550.0,Gentoo,Male,1,2.787042465899918,0.10631473883647279
45.3,13.8,208.0,4200.0,Gentoo,Female,1,1.08487184573031,-1.2038855017241088
46.2,14.9,221.0,5300.0,Gentoo,Male,1,2.2232557757451255,-0.5422999215632872
45.7,13.9,214.0,4400.0,Gentoo,Female,1,1.4810663472165992,-1.0975774907604814
54.3,15.7,231.0,5650.0,Gentoo,Male,1,3.3871545153547795,0.7069224522455609
45.8,14.2,219.0,4700.0,Gentoo,Female,1,1.8390583075460274,-0.9328380867644342
49.8,16.8,230.0,5700.0,Gentoo,Male,1,2.7812636897087635,0.6642336003028979
46.2,14.4,214.0,4650.0,Gentoo,,1,1.592502781969355,-0.8141990069517344
49.5,16.2,229.0,5800.0,Gentoo,Male,1,2.905476640238839,0.3990116695750679
43.5,14.2,220.0,4700.0,Gentoo,Female,1,1.68801381962745,-1.184559883385116
50.7,15.0,223.0,5550.0,Gentoo,Male,1,2.8319773325035684,0.017636683967232492
47.7,15.0,216.0,4750.0,Gentoo,Female,1,1.7464761547475447,-0.3963264723039806
46.4,15.6,221.0,5000.0,Gentoo,Male,1,1.8924130523295597,-0.26880550899144534
48.2,15.6,221.0,5100.0,Gentoo,Male,1,2.1112038437104195,-0.06114356234414593
46.5,14.8,217.0,5200.0,Gentoo,Female,1,2.0360400935232157,-0.5610873327312803
46.4,15.0,216.0,4700.0,Gentoo,Female,1,1.6036776729176088,-0.5439634166435962
48.6,16.0,230.0,5800.0,Gentoo,Male,1,2.9119468267302655,0.2196974405702034
47.5,14.2,209.0,4600.0,Gentoo,Female,1,1.502311946050038,-0.7588231542332389
51.1,16.3,220.0,6000.0,Gentoo,Male,1,2.786531539389936,0.6342995427697838
45.2,13.8,215.0,4750.0,Gentoo,Female,1,1.7403068465224556,-1.1557563135152629
