bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species,sex,cluster_kmeans,CP1,CP2,silhouette_individual,cluster_kmeans_0
41.8,19.4,198.0,4450.0,Adelie,Male,1,-0.5833539142520127,0.7030978436853732,0.07510212640374618,0
33.5,19.0,190.0,3600.0,Adelie,Female,3,-2.1054999467731426,-0.4585511656863573,0.526486007407337,2
39.7,18.4,190.0,3900.0,Adelie,Male,3,-1.2605097815863509,0.009306623467282478,0.43126452606807664,2
39.6,17.2,196.0,3550.0,Adelie,Female,3,-1.0187669344251316,-0.5230224043644478,0.4053693119995134,2
45.8,18.9,197.0,4150.0,Adelie,Male,1,-0.3942673391954499,0.9071064585473932,0.38617041713029693,0
35.5,17.5,190.0,3700.0,Adelie,Female,3,-1.565478565409526,-0.835836215581546,0.572899394403561,2
42.8,18.5,195.0,4250.0,Adelie,Male,1,-0.5771523504123541,0.42694501768073745,0.07155085003832673,0
40.9,16.8,191.0,3700.0,Adelie,Female,3,-0.9314000899165488,-0.5274897284351076,0.3540567680151313,2
37.2,19.4,184.0,3900.0,Adelie,Male,3,-1.9184379788684152,0.1391107389910868,0.4777422093987406,2
36.2,16.1,187.0,3550.0,Adelie,Female,3,-1.4485811819936205,-1.3418593086605857,0.5064136483880488,2
42.1,19.1,195.0,4000.0,Adelie,Male,1,-0.9286116293043989,0.5666868685343536,-0.03535942353651373,0
34.6,17.2,189.0,3200.0,Adelie,Female,3,-1.9631374759898097,-1.1086075688759498,0.563871843136036,2
42.9,17.6,196.0,4700.0,Adelie,Male,1,-0.036914826457220294,0.1213569047651076,0.08125021842294661,0
36.7,18.8,187.0,3800.0,Adelie,Female,3,-1.7837873493799374,-0.16843418451114903,0.5489605768665594,2
35.1,19.4,193.0,4200.0,Adelie,Male,3,-1.5191641533893456,-0.05780254712628817,0.41237948833067334,2
37.3,17.8,191.0,3350.0,Adelie,Female,3,-1.6747163929165618,-0.5540495826425719,0.575997513805172,2
41.3,20.3,194.0,3550.0,Adelie,Male,3,-1.588210363386269,0.9169845285821376,0.12689286158275903,2
36.3,19.5,190.0,3800.0,Adelie,Male,3,-1.8362342185947704,0.07144411292646569,0.48516497790538404,2
36.9,18.6,189.0,3500.0,Adelie,Female,3,-1.8498661298805397,-0.2587246877273477,0.5757976734904586,2
38.3,19.2,189.0,3950.0,Adelie,Male,3,-1.5466208802685961,0.18474405048825904,0.44670956468660694,2
38.9,18.8,190.0,3600.0,Adelie,Female,3,-1.6139544109680806,0.051916112089117276,0.4982996144402339,2
35.7,18.0,202.0,3550.0,Adelie,Female,3,-1.260722971670765,-0.6255020776831385,0.4305904210187184,2
41.1,18.1,205.0,4300.0,Adelie,Male,1,-0.19343669494943827,0.08583588473169147,0.015849571972871446,0
34.0,17.1,185.0,3400.0,Adelie,Female,3,-2.020079390766358,-1.194353183603505,0.5645679753834583,2
39.6,18.1,186.0,4450.0,Adelie,Male,3,-0.9954248026309919,-0.0657220886662916,0.30936267151646324,2
36.2,17.3,187.0,3300.0,Adelie,Female,3,-1.8633966789067316,-0.8827170157088429,0.5895281071065965,2
40.8,18.9,208.0,4300.0,Adelie,Male,1,-0.25783472909026117,0.37712234039332837,0.05470544903299343,0
38.1,18.6,190.0,3700.0,Adelie,Female,3,-1.571679806572275,-0.10607408380742304,0.5348169381706969,2
40.3,18.5,196.0,4350.0,Adelie,Male,3,-0.6764214776476016,0.16385531262752562,0.16217499142485128,2
33.1,16.1,178.0,2900.0,Adelie,Female,3,-2.5217642904220567,-1.7512964155148516,0.46204452500351695,2
43.2,18.5,192.0,4100.0,Adelie,Male,1,-0.7695343920532144,0.4544607629201621,0.04100044906186779,0
35.0,17.9,192.0,3725.0,Adelie,Female,3,-1.589274428221944,-0.7258081747602737,0.5586045199812106,2
41.0,20.0,203.0,4725.0,Adelie,Male,1,-0.378543933057344,0.8880100400367301,0.08905982184853191,0
37.7,16.0,183.0,3075.0,Adelie,Female,3,-1.792375994871074,-1.2687353458136315,0.468632358414845,2
37.8,20.0,190.0,4250.0,Adelie,Male,3,-1.504336260987084,0.4854076784260333,0.3155091165315232,2
37.9,18.6,193.0,2925.0,Adelie,Female,3,-1.996007581577681,-0.209136306486807,0.4590613538466741,2
39.7,18.9,184.0,3550.0,Adelie,Male,3,-1.8478281713279603,0.1737419607266293,0.4721236469403713,2
38.6,17.2,199.0,3750.0,Adelie,Female,3,-0.842251070116988,-0.6109795675900939,0.3809290704432011,2
38.2,20.0,190.0,3900.0,Adelie,Male,3,-1.710602337983369,0.49234087967791335,0.369847588536413,2
38.1,17.0,181.0,3175.0,Adelie,Female,3,-1.975561884354316,-0.8101527164641404,0.5259953001847291,2
43.2,19.0,197.0,4775.0,Adelie,Male,1,-0.2037086871063346,0.7286685441352314,0.17492514587357993,0
38.1,16.5,198.0,3825.0,Adelie,Female,3,-0.7315569521340699,-0.9411949185648009,0.3782015035622776,2
45.6,20.3,191.0,4600.0,Adelie,Male,1,-0.6331894701299495,1.4980294161326666,0.27387153707926115,0
39.7,17.7,193.0,3200.0,Adelie,Female,3,-1.4746647804811228,-0.3471479641877476,0.45371968753674313,2
42.2,19.5,197.0,4275.0,Adelie,Male,1,-0.7311106035248498,0.7687615585682077,0.08695234134408292,0
39.6,20.7,191.0,3900.0,Adelie,Female,3,-1.6947818343375864,0.9290209732451331,0.21116270791495875,2
42.7,18.3,196.0,4075.0,Adelie,Male,1,-0.6237105732098113,0.31680634582576167,0.03487157685078221,0
38.6,17.0,188.0,2900.0,Adelie,Female,3,-1.834956710315848,-0.7832289576038356,0.48086541659037507,2
37.3,20.5,199.0,3775.0,Adelie,Male,3,-1.6036557773407205,0.5843547563879158,0.27032058556164773,2
35.7,17.0,189.0,3350.0,Adelie,Female,3,-1.72795976055481,-1.0532518639089263,0.5724796258784894,2
41.1,18.6,189.0,3325.0,Adelie,Male,3,-1.618968306983624,0.18280162305824954,0.373843050261524,2
36.2,17.2,187.0,3150.0,Adelie,Female,3,-1.9458100980754893,-0.9389762967920546,0.5719838377625976,2
37.7,19.8,198.0,3500.0,Adelie,Male,3,-1.6574738786797052,0.31583007043504563,0.35298402175793236,2
40.2,17.0,176.0,3450.0,Adelie,Female,3,-1.8170004837188345,-0.552012590278427,0.4278416786202845,2
41.4,18.5,202.0,3875.0,Adelie,Male,1,-0.663688739289622,0.23525533713975225,-0.05114944318780244,0
35.2,15.9,186.0,3050.0,Adelie,Female,3,-1.8748928005696477,-1.58512548923895,0.4850821459510153,2
40.6,19.0,199.0,4000.0,Adelie,Male,3,-0.8694782363323561,0.3626079586389326,0.13044687612385863,2
38.8,17.6,191.0,3275.0,Adelie,Female,3,-1.5602086247864935,-0.4785918300793528,0.5278543321741287,2
41.5,18.3,195.0,4300.0,Adelie,Male,3,-0.6108700555674724,0.20892981947651343,0.0792897269744352,2
39.0,17.1,191.0,3050.0,Adelie,Female,3,-1.596070432856843,-0.6826760953412963,0.4779533049708188,2
44.1,18.0,210.0,4000.0,Adelie,Male,1,0.07707396321637612,0.3431314542606458,0.24694653094739052,0
38.5,17.9,190.0,3325.0,Adelie,Female,3,-1.652951554280762,-0.3849713101146279,0.5526776627113023,2
43.1,19.2,197.0,3500.0,Adelie,Male,1,-1.1257438544147556,0.6643081496092734,0.03832417242833488,0
36.8,18.5,193.0,3500.0,Adelie,Female,3,-1.6738219354202264,-0.3094826990668888,0.5491016081714343,2
37.5,18.5,199.0,4475.0,Adelie,Male,3,-0.7015771787820463,-0.12913002797655565,0.2619231869693393,2
38.1,17.6,187.0,3425.0,Adelie,Female,3,-1.6800416994353262,-0.540099810628595,0.5815356820992647,2
41.1,17.5,190.0,3900.0,Adelie,Male,3,-0.9608815519502784,-0.20148246720711938,0.33094186008213533,2
35.6,17.5,191.0,3175.0,Adelie,Female,3,-1.8756082811947556,-0.8800313407525632,0.5659555980790624,2
40.2,20.1,200.0,3975.0,Adelie,Male,3,-1.1022985920960886,0.7613540752455699,0.08523868202599756,2
37.0,16.5,185.0,3400.0,Adelie,Female,3,-1.6477446259548625,-1.1085483938039509,0.5384449793633213,2
39.7,17.9,193.0,4250.0,Adelie,Male,3,-0.796261163995483,-0.1556163239554261,0.3058949918371817,2
40.2,17.1,193.0,3400.0,Adelie,Female,3,-1.1741454965353728,-0.5140603390870713,0.4185450505038934,2
40.6,17.2,187.0,3475.0,Adelie,Male,3,-1.355826213343405,-0.422871615121209,0.45018803295999754,2
32.1,15.5,188.0,3050.0,Adelie,Female,3,-1.9705124575401887,-2.086123353050569,0.4446659852099447,2
40.7,17.0,190.0,3725.0,Adelie,Male,3,-1.0126095373533448,-0.4660081504552848,0.3860401318432637,2
37.3,16.8,192.0,3000.0,Adelie,Female,3,-1.6703429340601026,-0.9953264703858512,0.49628752424005823,2
39.0,18.7,185.0,3650.0,Adelie,Male,3,-1.7561795380136982,0.026865794305200374,0.516661080638342,2
39.2,18.6,190.0,4250.0,Adelie,Male,3,-1.1031983490466764,0.07233526040147566,0.35331053542628565,2
36.6,18.4,184.0,3475.0,Adelie,Female,3,-2.056550084419608,-0.3759389498038519,0.5878841427064818,2
36.0,17.8,195.0,3450.0,Adelie,Female,3,-1.5507064895825498,-0.6852337644845246,0.5447287682541707,2
37.8,18.1,193.0,3750.0,Adelie,Male,3,-1.3379142148452865,-0.3354567407184663,0.5223459850161254,2
36.0,17.1,187.0,3700.0,Adelie,Female,3,-1.5655867340424183,-0.9433930238550754,0.5677354003381604,2
41.5,18.5,201.0,4000.0,Adelie,Male,1,-0.6107650954469721,0.25921313951693975,-0.031649394528818514,0
46.5,17.9,192.0,3500.0,Chinstrap,Female,1,-0.7830087351555889,0.5099095685289708,0.286092148866036,0
50.0,19.5,196.0,3900.0,Chinstrap,Male,1,-0.37756207026212923,1.5833089176254687,0.5217508703137252,0
51.3,19.2,193.0,3650.0,Chinstrap,Male,1,-0.5023582624595843,1.5774830241652675,0.49978908930391086,0
45.4,18.7,188.0,3525.0,Chinstrap,Female,1,-1.1842565173222173,0.7150800943796969,0.15206290564018796,0
52.7,19.8,197.0,3725.0,Chinstrap,Male,1,-0.29180837238738055,1.9820953702324096,0.5036083379743245,0
45.2,17.8,198.0,3950.0,Chinstrap,Female,1,-0.3169812174577579,0.3754665644233153,0.2925682511637249,0
46.1,18.2,178.0,3250.0,Chinstrap,Female,1,-1.622835493430532,0.558860387138778,-0.012545886454463296,0
51.3,18.2,197.0,3750.0,Chinstrap,Male,1,-0.0667689645635092,1.1841015934248897,0.5173634909516864,0
46.0,18.9,195.0,4150.0,Chinstrap,Female,1,-0.459612310892858,0.9286843706131351,0.3819028682324585,0
51.3,19.9,198.0,3700.0,Chinstrap,Male,1,-0.4051170788912081,1.8667599045988166,0.5059369602430156,0
46.6,17.8,193.0,3800.0,Chinstrap,Female,1,-0.5079020585170155,0.5121721637604122,0.34384835885284687,0
51.7,20.3,194.0,3775.0,Chinstrap,Male,1,-0.5656570903146801,2.0796436984170166,0.4719630574062723,0
47.0,17.3,185.0,3700.0,Chinstrap,Female,1,-0.7696522528949032,0.34185943658180284,0.1942137055513205,0
52.0,18.1,201.0,4050.0,Chinstrap,Male,1,0.3815121134350648,1.2525607553436418,0.47961806466682316,0
45.9,17.1,190.0,3575.0,Chinstrap,Female,1,-0.7013867096302616,0.12812352260912105,0.15688792128696383,0
50.5,19.6,201.0,4050.0,Chinstrap,Male,1,-0.04827850650108627,1.6951383460842406,0.5311824205506106,0
50.3,20.0,197.0,3300.0,Chinstrap,Male,1,-0.8238576030967533,1.7553987975060006,0.42904008305611874,0
58.0,17.8,181.0,3700.0,Chinstrap,Female,1,-0.11667009589715037,1.7481568199865345,0.3350558589212601,0
46.4,18.6,190.0,3450.0,Chinstrap,Female,1,-1.0497580285602375,0.776562122085232,0.2648404777389272,0
49.2,18.2,195.0,4400.0,Chinstrap,Male,1,0.12091819283196527,1.022273173139275,0.45716032739321105,0
42.4,17.3,181.0,3600.0,Chinstrap,Female,3,-1.386357676786626,-0.1730944540617387,0.3113408719340269,2
48.5,17.5,191.0,3400.0,Chinstrap,Male,1,-0.6442857197512561,0.5564151479321007,0.3387727964991404,0
43.2,16.6,187.0,2900.0,Chinstrap,Female,3,-1.4106367312516441,-0.44144948952147506,0.22219303017671718,2
50.6,19.4,193.0,3800.0,Chinstrap,Male,1,-0.498702180495828,1.5975385214405704,0.5047612272387394,0
46.7,17.9,195.0,3300.0,Chinstrap,Female,1,-0.7801912274412602,0.5112300100494093,0.28488428083098055,0
52.0,19.0,197.0,4150.0,Chinstrap,Male,1,0.10317855950602328,1.6265556747648942,0.5273521564272168,0
50.5,18.4,200.0,3400.0,Chinstrap,Female,1,-0.2907784007493037,1.1410178227322962,0.4767758109519907,0
49.5,19.0,200.0,3800.0,Chinstrap,Male,1,-0.22219011985093737,1.316383196314384,0.5314341819875654,0
46.4,17.8,191.0,3700.0,Chinstrap,Female,1,-0.6751270201070131,0.47940902773473454,0.2912421082169834,0
52.8,20.0,205.0,4550.0,Chinstrap,Male,1,0.569059041257343,2.1621748735679165,0.4173424741637179,0
40.9,16.6,187.0,3200.0,Chinstrap,Female,3,-1.3972737652945535,-0.6617285916369187,0.39621365383725465,2
54.2,20.8,201.0,4300.0,Chinstrap,Male,1,0.1882690621416476,2.612161256310933,0.45070031372539127,0
42.5,16.7,187.0,3350.0,Chinstrap,Female,3,-1.1812480015677715,-0.4302454264898453,0.2825067999210027,2
51.0,18.8,203.0,4100.0,Chinstrap,Male,1,0.27217580950393455,1.4318350980739145,0.5305369774850103,0
49.7,18.6,195.0,3600.0,Chinstrap,Male,1,-0.46635092536178613,1.1545766821857328,0.49699461339233475,0
47.5,16.8,199.0,3900.0,Chinstrap,Female,1,0.0848906979601087,0.2176792412481982,0.34142511984562574,0
47.6,18.3,195.0,3850.0,Chinstrap,Female,1,-0.40961905882888294,0.8295630306304511,0.45133994359083757,0
52.0,20.7,210.0,4800.0,Chinstrap,Male,1,0.736447860052874,2.3849099661204405,0.3262710082628907,0
46.9,16.6,192.0,2700.0,Chinstrap,Female,1,-1.033495705049479,-0.056501728169096065,0.062061221823684454,0
53.5,19.9,205.0,4500.0,Chinstrap,Male,1,0.6135779265858039,2.193111118838098,0.4125065685053836,0
49.0,19.5,210.0,3950.0,Chinstrap,Male,1,0.14749426963577644,1.4813370427189696,0.4653198870265739,0
46.2,17.5,187.0,3650.0,Chinstrap,Female,1,-0.8292542352050287,0.33021836039444874,0.1752091561365888,0
50.9,19.1,196.0,3550.0,Chinstrap,Male,1,-0.46086654374056474,1.48317292076718,0.5069812450285549,0
45.5,17.0,196.0,3500.0,Chinstrap,Female,1,-0.5197059928222287,0.036934798643257265,0.1747729161185687,0
50.9,17.9,196.0,3675.0,Chinstrap,Female,1,-0.1316471765188069,1.0108617814711194,0.4921105115751438,0
50.8,18.5,201.0,4450.0,Chinstrap,Male,1,0.4740027241854124,1.325109812477682,0.4404581622332814,0
50.1,17.9,190.0,3400.0,Chinstrap,Female,1,-0.632904378420281,0.8933031571549679,0.3976574706470566,0
49.0,19.6,212.0,4300.0,Chinstrap,Male,1,0.44890801107786166,1.558991551395329,0.4030338569795966,0
51.5,18.7,187.0,3250.0,Chinstrap,Male,1,-0.9041941963993129,1.3539871536945574,0.37794148631776514,0
49.8,17.3,198.0,3675.0,Chinstrap,Female,1,-0.019647529870085653,0.6479804417992671,0.4418606561220128,0
48.1,16.4,199.0,3325.0,Chinstrap,Female,1,-0.17753912356739251,0.06098484270816456,0.2647258616749477,0
51.4,19.0,201.0,3950.0,Chinstrap,Male,1,0.08021315232492052,1.5404267109745213,0.5435845374819651,0
45.7,17.3,193.0,3600.0,Chinstrap,Female,1,-0.6185031275327352,0.1902552474734262,0.20417714836552295,0
50.7,19.7,203.0,4050.0,Chinstrap,Male,1,0.03016761487496153,1.7578230705044957,0.5239495362583684,0
42.5,17.3,187.0,3350.0,Chinstrap,Female,3,-1.3030596203329736,-0.18750543366965655,0.29342536662181096,2
52.2,18.8,197.0,3450.0,Chinstrap,Male,1,-0.3188543507740721,1.4937997898046422,0.49205915824369745,0
45.2,16.6,191.0,3250.0,Chinstrap,Female,1,-0.8398591078840013,-0.18489671779307768,0.006461991300200169,0
49.3,19.9,203.0,4050.0,Chinstrap,Male,1,-0.12734705953504297,1.6854155028886775,0.5009196699256073,0
50.2,18.8,202.0,3800.0,Chinstrap,Male,1,-0.04108433141790706,1.3124553880945031,0.5336549257867168,0
45.6,19.4,194.0,3525.0,Chinstrap,Female,1,-1.063528985177049,1.0211549585046231,0.2756534620400264,0
51.9,19.5,206.0,3950.0,Chinstrap,Male,1,0.22557361461287118,1.7982801857002384,0.5146952466755711,0
46.8,16.5,189.0,3650.0,Chinstrap,Female,1,-0.49408372661993977,-0.00831426433967566,0.16968687756946035,0
45.7,17.0,195.0,3650.0,Chinstrap,Female,1,-0.44131235150643133,0.0744778630432997,0.20708513599237172,0
55.8,19.8,207.0,4000.0,Chinstrap,Male,1,0.5656096043505738,2.352188474774845,0.41370821620436676,0
43.5,18.1,202.0,3400.0,Chinstrap,Female,1,-0.7323800840408942,0.2533684069850446,0.08367115403022782,0
49.6,18.2,193.0,3775.0,Chinstrap,Male,1,-0.35570588425246014,0.9999098389914167,0.48421220815680915,0
50.8,19.0,210.0,4100.0,Chinstrap,Male,1,0.502033195197512,1.4919832005538378,0.4329551200400231,0
50.2,18.7,198.0,3775.0,Chinstrap,Female,1,-0.20199465042963302,1.2687148064711253,0.535458393090331,0
46.1,13.2,211.0,4500.0,Gentoo,Female,2,1.6019901201845153,-1.3269207111226444,0.5472411119934474,1
50.0,16.3,230.0,5700.0,Gentoo,Male,2,2.8994749150828514,0.48385325846072424,0.5491263927472372,1
48.7,14.1,210.0,4450.0,Gentoo,Female,2,1.5611310426833782,-0.683501985547432,0.5151140144151326,1
50.0,15.2,218.0,5700.0,Gentoo,Male,2,2.6305171275494206,0.036879497636931456,0.6215920956569322,1
47.6,14.5,215.0,5400.0,Gentoo,Male,2,2.243711682528463,-0.5412458281388034,0.6626450706945002,1
46.5,13.5,210.0,4550.0,Gentoo,Female,2,1.567702591434381,-1.1566397418799785,0.557294397502034,1
45.4,14.6,211.0,4800.0,Gentoo,Female,2,1.464738320247492,-0.8055826125937858,0.6010669843739328,1
46.7,15.3,219.0,5200.0,Gentoo,Male,2,2.0332784690557952,-0.33657594643089905,0.660752440604583,1
43.3,13.4,209.0,4400.0,Gentoo,Female,2,1.1770412257659957,-1.5635093278120362,0.482055631813039,1
46.8,15.4,215.0,5150.0,Gentoo,Male,2,1.8229958227189402,-0.291085473629086,0.6363882650930889,1
40.9,13.7,214.0,4650.0,Gentoo,Female,2,1.2920254458469713,-1.6778247812035005,0.4956036634088443,1
49.0,16.1,216.0,5550.0,Gentoo,Male,2,2.1795301136560674,0.2753468702718792,0.573997250250981,1
45.5,13.7,214.0,4650.0,Gentoo,Female,2,1.6761609364512882,-1.1740561145198947,0.6085848095423885,1
48.4,14.6,213.0,5850.0,Gentoo,Male,2,2.516315470468321,-0.3660944472395428,0.5985985716515455,1
45.8,14.6,210.0,4200.0,Gentoo,Female,2,1.046256726484918,-0.8251496407516604,0.4217334498649562,1
49.3,15.7,217.0,5850.0,Gentoo,Male,2,2.5322441427469946,0.17814245460120723,0.5839585332294276,1
42.0,13.5,210.0,4150.0,Gentoo,Female,2,0.9180102573526077,-1.6915972241114057,0.3875953275869479,1
49.2,15.2,221.0,6300.0,Gentoo,Male,2,3.09764214993965,0.012965628221081578,0.5502978050333909,1
46.2,14.5,209.0,4800.0,Gentoo,Female,2,1.4697999142202096,-0.7587524094741264,0.5845765252084814,1
48.7,15.1,222.0,5350.0,Gentoo,Male,2,2.4666829004554254,-0.1821691965145918,0.6655702689573051,1
50.2,14.3,218.0,5700.0,Gentoo,Male,2,2.8299360987669764,-0.305327506085367,0.6253612572133783,1
